year,values
1979,12048594.9375
1980,11614514.395833334
1981,11752673.6875
1982,11964166.041666666
1983,11675848.416666666
1984,11729840.041666666
1985,11870872.916666666
1986,11920013.666666666
1987,11821508.681818182
1988,11829343.8125
1989,11716145.916666666
1990,11725215.270833334
1991,11873054.604166666
1992,11764579.583333334
1993,11767847.041666666
1994,12099048.604166666
1995,12125347.5
1996,12110542.0625
1997,11702199.8125
1998,12046370.770833334
1999,12109007.291666666
2000,12119061.895833334
2001,11995940.0
2002,11569012.729166666
2003,12261358.458333334
2004,12287636.958333334
2005,12035445.208333334
2006,11833882.604166666
2007,12076454.604166666
2008,12687598.041666666
2009,12497382.4375
2010,12496591.875
2011,11899604.916666666
2012,12419827.9375
2013,12883961.375
2014,13151908.833333334
2015,12783044.604166666
2016,11605574.958333334
2017,11079259.166666666
2018,11377160.5
2019,11223082.333333334
2020,11981844.520833334
2021,11976940.020833334
