year,values
1979,12616268.458333334
1980,12675476.541666666
1981,12512351.291666666
1982,12778716.458333334
1983,12631432.5
1984,12187772.125
1985,12308303.375
1986,12086361.222222222
1987,12422070.863636363
1988,12407280.583333334
1989,12143853.291666666
1990,11891083.291666666
1991,11936275.333333334
1992,12268757.458333334
1993,12113481.666666666
1994,12174569.791666666
1995,11601183.666666666
1996,11988393.0
1997,11883023.625
1998,11992646.916666666
1999,11906961.583333334
2000,11717389.666666666
2001,11820513.958333334
2002,11593580.208333334
2003,11651513.625
2004,11425516.75
2005,11122539.041666666
2006,11072214.583333334
2007,10802337.541666666
2008,11330209.916666666
2009,11332247.666666666
2010,11119295.875
2011,10907930.041666666
2012,10823853.520833334
2013,11223014.625
2014,11140787.666666666
2015,10912046.583333334
2016,10546775.291666666
2017,10762296.791666666
2018,10709465.5
2019,10567831.541666666
2020,10493783.375
2021,10930114.25
