ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,Afghanistan,Climate Watch,Building,All GHG,MtCO₂e,2.36,2.38,2.17,2.22,2.6,2.49,1.73,1.34,0.84,0.82,0.5,0.39,0.23,0.23,0.23,0.24,0.2,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.13
AGO,Angola,Climate Watch,Building,All GHG,MtCO₂e,4.67,5.34,4.85,5.09,5.9,6.41,6.96,7.08,5.99,5.45,5.05,4.83,4.28,3.63,3.24,2.27,2.58,2.52,2.45,2.42,2.28,2.47,2.21,2.11,2.1,1.84,1.79,1.65,1.72,1.77,1.7
ALB,Albania,Climate Watch,Building,All GHG,MtCO₂e,0.51,0.53,0.52,0.51,0.46,0.45,0.42,0.39,0.32,0.39,0.4,0.44,0.41,0.35,0.49,0.45,0.48,0.51,0.71,0.33,0.31,0.3,0.34,0.44,0.45,0.36,0.28,0.3,0.42,0.5,0.44
AND,Andorra,Climate Watch,Building,All GHG,MtCO₂e,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARE,United Arab Emirates,Climate Watch,Building,All GHG,MtCO₂e,0.54,0.57,0.81,1.01,1.02,0.97,0.88,0.88,0.55,0.68,0.55,0.49,0.3,0.17,0.13,0.13,0.13,0.12,0.12,0.47,0.32,0.27,0.26,0.26,0.25,0.29,0.29,0.26,0.27,0.29,0.31
ARG,Argentina,Climate Watch,Building,All GHG,MtCO₂e,26.69,27.11,28.28,28.7,30.8,30.37,30.06,31.12,29.96,28.5,28.4,24.89,25.33,26.69,22.82,22.82,21.9,20.47,19.02,19.94,20.77,19.69,18.38,18.07,17.98,18.12,18.2,18.58,16.69,17.3,17.6
ARM,Armenia,Climate Watch,Building,All GHG,MtCO₂e,1.6,1.47,1.21,1.38,1.29,1.18,1.09,1.24,1.26,1.13,0.98,1.12,1.2,1.07,0.75,0.73,0.65,0.48,0.39,0.34,0.31,0.28,0.34,0.32,0.25,1.17,0.79,0.59,1.91,4.45,6.48
ATG,Antigua and Barbuda,Climate Watch,Building,All GHG,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
AUS,Australia,Climate Watch,Building,All GHG,MtCO₂e,15.21,15.0,15.09,15.06,15.05,14.92,14.67,14.18,13.9,13.65,13.21,13.08,12.48,12.4,12.12,11.92,11.86,12.01,11.91,11.57,11.29,11.02,11.12,10.89,10.81,10.46,9.9,10.21,9.73,9.38,9.3
AUT,Austria,Climate Watch,Building,All GHG,MtCO₂e,8.36,8.36,8.11,8.95,8.75,8.52,8.05,9.14,8.89,9.26,10.55,10.28,11.13,10.77,12.72,12.99,13.27,13.77,13.04,13.75,12.53,13.68,13.17,13.15,14.75,13.3,12.14,13.16,13.41,14.15,12.68
AZE,Azerbaijan,Climate Watch,Building,All GHG,MtCO₂e,7.95,8.0,6.34,6.17,6.75,6.03,5.65,5.11,5.27,6.23,6.15,6.01,6.69,5.52,5.82,5.81,5.66,5.76,5.23,4.68,4.31,4.77,4.47,4.1,4.1,3.87,4.73,2.38,3.62,4.66,4.96
BDI,Burundi,Climate Watch,Building,All GHG,MtCO₂e,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02
BEL,Belgium,Climate Watch,Building,All GHG,MtCO₂e,22.12,21.95,22.74,23.01,23.2,23.48,20.56,26.04,23.79,22.58,27.62,25.16,27.08,23.03,25.94,27.87,28.08,28.55,26.57,27.85,26.75,27.72,29.27,29.56,31.91,27.49,26.26,26.98,27.76,27.89,25.0
BEN,Benin,Climate Watch,Building,All GHG,MtCO₂e,1.06,1.03,0.77,0.72,0.72,0.69,0.77,0.83,1.09,1.37,1.66,1.71,1.66,1.61,1.56,1.39,1.28,1.15,1.06,0.95,0.71,0.68,0.57,0.53,0.49,0.28,0.27,0.26,0.26,0.24,0.25
BFA,Burkina Faso,Climate Watch,Building,All GHG,MtCO₂e,0.38,0.37,0.33,0.29,0.27,0.23,0.21,0.2,0.19,0.18,0.16,0.15,0.16,0.15,0.13,0.11,0.13,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.09,0.09,0.07,0.06,0.06,0.06,0.06
BGD,Bangladesh,Climate Watch,Building,All GHG,MtCO₂e,11.08,12.66,12.71,12.57,12.03,10.94,10.19,9.62,9.72,9.74,9.36,8.69,8.58,8.37,8.12,7.94,8.18,7.78,7.14,6.67,6.25,6.04,6.1,5.81,5.25,5.19,4.85,4.6,4.45,4.41,4.68
BGR,Bulgaria,Climate Watch,Building,All GHG,MtCO₂e,1.37,1.3,1.36,1.55,1.5,1.41,1.27,1.55,1.81,1.84,1.62,1.41,1.66,1.63,1.85,1.58,1.66,2.08,1.93,1.49,1.62,2.28,3.02,2.83,3.95,3.45,4.63,5.38,4.69,4.34,6.29
BHR,Bahrain,Climate Watch,Building,All GHG,MtCO₂e,0.25,0.25,0.26,0.22,0.26,0.28,0.26,0.26,0.24,0.23,0.23,0.23,0.23,0.2,0.19,0.24,0.22,0.21,0.2,0.19,0.18,0.17,0.32,0.25,0.18,0.16,0.16,0.15,0.15,0.14,0.13
BHS,Bahamas,Climate Watch,Building,All GHG,MtCO₂e,0.33,0.35,0.38,0.28,0.24,0.3,0.36,0.69,0.4,0.21,0.15,0.16,0.16,0.15,0.16,0.16,0.16,0.18,0.19,0.19,0.19,0.21,0.21,0.22,0.23,0.24,0.22,0.22,0.26,0.31,0.23
BIH,Bosnia and Herzegovina,Climate Watch,Building,All GHG,MtCO₂e,1.15,1.11,1.25,1.2,1.53,1.28,1.18,0.65,0.6,0.67,0.68,0.51,0.19,0.19,0.19,0.19,0.17,0.17,0.15,0.15,0.15,0.18,0.18,0.16,0.23,0.11,0.13,0.11,0.22,0.34,0.35
BLR,Belarus,Climate Watch,Building,All GHG,MtCO₂e,4.63,4.78,5.22,5.18,5.13,4.8,5.14,5.56,5.73,5.43,5.59,5.11,5.13,5.26,5.45,5.37,5.19,5.38,5.51,5.67,6.39,6.28,6.33,7.28,8.76,8.48,8.9,10.99,12.11,13.44,14.32
BLZ,Belize,Climate Watch,Building,All GHG,MtCO₂e,0.08,0.09,0.09,0.08,0.08,0.07,0.02,0.02,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.14,0.1
BOL,Bolivia,Climate Watch,Building,All GHG,MtCO₂e,1.84,1.87,1.83,1.78,1.74,1.67,1.61,1.52,1.46,1.42,1.36,1.31,1.26,1.27,1.23,1.18,1.14,1.05,1.01,0.96,0.92,1.14,1.14,1.13,1.01,0.94,0.89,0.85,0.81,0.76,0.78
BRA,Brazil,Climate Watch,Building,All GHG,MtCO₂e,23.67,23.13,23.25,23.06,22.85,22.76,22.93,22.71,22.68,22.75,22.74,22.63,23.01,22.99,22.47,22.45,22.94,22.38,24.47,24.35,24.02,24.07,22.96,22.51,22.15,22.09,21.49,20.5,20.38,19.83,19.61
BRB,Barbados,Climate Watch,Building,All GHG,MtCO₂e,0.09,0.1,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.11,0.1,0.11,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.09,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06
BRN,Brunei,Climate Watch,Building,All GHG,MtCO₂e,0.09,0.09,0.12,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.08,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05
BTN,Bhutan,Climate Watch,Building,All GHG,MtCO₂e,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.03,0.03,0.03,0.02,0.03,0.03
BWA,Botswana,Climate Watch,Building,All GHG,MtCO₂e,0.23,0.24,0.25,0.25,0.25,0.27,0.34,0.32,0.33,0.31,0.32,0.32,0.32,0.36,0.33,0.32,0.32,0.44,0.54,0.53,0.46,0.4,0.54,0.31,0.32,0.31,0.33,0.33,0.3,0.28,0.26
CAF,Central African Republic,Climate Watch,Building,All GHG,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04
CAN,Canada,Climate Watch,Building,All GHG,MtCO₂e,73.97,78.03,79.0,73.72,69.38,71.83,75.45,71.52,68.64,73.98,68.75,73.03,75.09,75.74,70.78,75.55,77.9,80.89,77.09,70.19,73.52,68.14,65.0,72.07,74.84,69.34,70.35,69.11,65.9,64.06,64.58
CHE,Switzerland,Climate Watch,Building,All GHG,MtCO₂e,10.87,11.7,11.66,12.71,13.33,12.86,11.99,15.3,14.44,13.11,16.4,15.24,15.47,14.55,16.37,17.24,16.71,16.9,16.04,16.81,16.04,17.5,17.38,16.8,17.85,17.09,16.13,17.22,17.8,17.77,16.74
CHL,Chile,Climate Watch,Building,All GHG,MtCO₂e,6.74,7.08,7.27,7.12,6.57,5.48,5.51,6.74,6.7,7.09,6.24,5.82,5.65,5.56,5.16,5.11,5.35,4.95,5.18,5.32,5.25,5.08,4.72,5.32,4.79,5.0,4.9,4.65,4.48,3.94,3.7
CHN,China,Climate Watch,Building,All GHG,MtCO₂e,492.89,496.28,533.82,574.1,567.83,561.83,534.14,524.69,508.45,494.73,473.61,452.48,447.34,468.46,459.79,442.09,431.36,388.87,365.54,360.69,360.24,393.03,387.24,446.96,404.06,462.86,437.32,469.02,458.5,483.84,484.96
CIV,Côte d'Ivoire,Climate Watch,Building,All GHG,MtCO₂e,2.63,2.61,2.53,2.48,2.26,2.16,2.59,2.55,2.29,2.11,2.05,1.85,2.06,1.87,1.95,1.88,1.85,1.46,1.5,1.42,1.46,1.43,1.34,1.32,1.27,1.19,1.15,1.13,1.11,1.11,1.06
