ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,Afghanistan,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.17,0.24,0.24,0.19,0.19,0.17,0.17,0.22,0.15,0.19,0.14,0.12,0.24,0.27,0.27,0.23,0.23,0.26,0.15,0.18,0.16,0.16,0.16,0.16,0.17,0.18,0.19,0.2,0.2,0.3,0.32
AGO,Angola,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,5.15,5.75,5.07,5.12,4.58,6.45,6.02,4.35,2.94,2.45,2.62,2.47,1.6,1.19,1.07,0.98,0.86,1.23,1.05,1.04,0.94,0.85,0.59,0.63,0.41,0.38,0.38,0.31,0.37,0.44,0.48
ALB,Albania,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.13,0.19,0.14,0.23,0.12,0.08,0.12,0.05,0.1,0.12,0.1,0.13,0.28,0.33,0.27,0.3,0.28,0.36,0.39,0.35,0.38,0.29,0.33,0.32,0.33,0.4,0.61,0.53,0.4,0.54,0.73
AND,Andorra,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARE,United Arab Emirates,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,74.75,72.43,73.28,74.21,72.68,72.42,67.91,64.74,64.45,62.24,60.97,59.42,68.34,57.14,57.07,53.47,50.08,42.01,38.01,34.39,31.02,28.17,25.56,23.24,21.5,20.17,18.85,17.16,14.9,13.9,13.63
ARG,Argentina,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,54.31,56.82,64.22,68.33,71.29,69.88,67.1,65.1,67.68,64.64,59.52,57.29,59.18,54.48,53.93,50.61,48.77,41.9,37.34,40.17,42.26,42.85,38.02,33.05,33.25,29.28,30.31,30.54,31.28,32.46,29.08
ARM,Armenia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,1.44,1.36,1.5,1.26,1.19,1.29,1.15,1.32,1.43,0.95,0.63,0.65,1.04,1.08,0.9,0.95,0.77,0.88,0.92,1.54,1.6,1.46,1.79,1.8,1.54,1.39,0.82,0.81,4.88,7.82,6.12
ATG,Antigua and Barbuda,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.24,0.24,0.23,0.22,0.2,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.1,0.1,0.1,0.1,0.1,0.11
AUS,Australia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,221.23,228.97,229.58,235.31,234.97,228.51,221.38,231.69,240.44,242.34,249.44,245.94,236.13,236.23,229.13,224.36,220.91,211.21,219.69,205.17,197.77,195.0,190.15,170.89,166.06,158.77,152.54,149.79,148.36,145.92,143.29
AUT,Austria,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,17.08,19.0,17.97,20.2,18.65,19.6,19.49,21.38,22.06,24.56,24.34,20.09,23.69,23.76,24.7,25.71,24.95,24.15,22.15,21.65,19.8,20.19,21.05,21.94,21.44,20.87,19.31,17.79,17.65,20.89,20.04
