ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,Afghanistan,Climate Watch,Energy,All GHG,MtCO₂e,10.89,13.43,13.13,12.18,11.41,12.2,11.23,11.15,11.76,13.32,9.74,7.5,5.09,3.34,2.55,2.01,1.35,1.71,1.47,1.17,1.16,1.16,1.36,1.38,1.45,1.5,1.57,1.64,1.68,2.14,2.28
AGO,Angola,Climate Watch,Energy,All GHG,MtCO₂e,33.26,39.34,39.34,42.94,47.88,49.47,45.91,43.97,41.71,42.11,42.05,39.72,38.8,34.67,32.39,30.82,30.91,29.34,28.43,28.06,28.79,30.71,29.61,28.21,27.01,22.8,19.55,16.59,13.52,12.84,12.51
ALB,Albania,Climate Watch,Energy,All GHG,MtCO₂e,3.51,4.2,4.52,4.52,3.82,3.98,4.27,3.79,3.62,4.29,4.08,3.91,3.86,3.93,3.95,3.99,4.17,3.96,3.91,3.36,3.22,3.06,1.89,1.56,2.01,2.0,2.25,2.26,2.49,4.25,6.2
AND,Andorra,Climate Watch,Energy,All GHG,MtCO₂e,0.45,0.48,0.49,0.47,0.47,0.47,0.46,0.48,0.49,0.49,0.52,0.52,0.54,0.54,0.55,0.58,0.56,0.53,0.53,0.52,0.52,0.51,0.49,0.47,0.45,0.43,0.41,0.41,0.41,0.41,0.41
ARE,United Arab Emirates,Climate Watch,Energy,All GHG,MtCO₂e,217.43,216.76,203.06,220.88,231.23,223.62,212.76,213.05,202.59,191.88,184.77,177.49,177.77,154.98,146.36,141.06,133.29,126.59,119.8,119.53,106.74,105.91,104.77,103.49,100.02,95.79,91.27,83.2,79.27,81.63,73.48
ARG,Argentina,Climate Watch,Energy,All GHG,MtCO₂e,175.77,191.54,198.37,199.62,204.01,205.83,199.79,203.12,198.43,196.11,187.52,177.39,189.72,184.84,178.03,169.51,166.59,152.91,142.16,149.33,155.09,156.43,154.02,146.79,143.1,131.78,128.5,126.72,124.31,121.43,116.16
ARM,Armenia,Climate Watch,Energy,All GHG,MtCO₂e,7.35,6.88,6.42,6.2,5.94,6.13,6.22,6.19,6.36,5.57,4.92,5.11,6.1,5.58,4.89,4.84,4.15,3.94,3.54,4.07,4.01,3.65,4.14,4.16,3.55,4.66,4.11,6.53,12.47,22.73,22.06
ATG,Antigua and Barbuda,Climate Watch,Energy,All GHG,MtCO₂e,0.47,0.51,0.51,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.47,0.45,0.43,0.42,0.4,0.38,0.37,0.36,0.34,0.32,0.31,0.3,0.29,0.27,0.25,0.24,0.23,0.22,0.22,0.22,0.22
AUS,Australia,Climate Watch,Energy,All GHG,MtCO₂e,438.92,455.6,453.01,454.09,450.19,440.93,431.92,437.38,441.16,438.46,441.88,435.14,427.99,424.37,411.88,406.09,401.8,387.97,388.5,380.05,371.63,363.47,357.26,335.73,326.36,315.66,303.77,297.28,292.06,287.39,284.51
AUT,Austria,Climate Watch,Energy,All GHG,MtCO₂e,59.17,64.66,63.24,66.16,63.96,63.54,62.35,66.13,65.45,68.58,70.38,64.52,70.48,71.0,74.0,76.21,75.76,74.49,69.37,67.94,63.49,63.15,64.75,64.14,65.04,61.26,57.85,57.63,57.47,62.38,58.21
