ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,Afghanistan,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.38,1.21,1.08,0.91,0.79,0.6,0.52,0.47,0.39,0.31,0.25,0.22,0.2,0.18,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.06,0.05
AGO,Angola,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.56,1.43,1.47,1.4,1.87,2.36,2.28,1.83,1.39,0.97,0.76,0.85,0.83,0.67,0.65,0.61,0.38,0.36,0.31,0.29,0.15,0.14,0.19,0.16,0.14,0.1,0.11,0.11,0.13,0.12,0.11
ALB,Albania,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.2,1.16,1.18,1.28,1.17,1.27,1.36,1.44,1.35,1.28,1.14,0.86,0.73,0.69,0.46,0.42,0.45,0.45,0.14,0.13,0.22,0.16,0.13,0.12,0.15,0.13,0.1,0.17,0.19,0.42,0.52
AND,Andorra,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,Climate Watch,Industrial Processes,All GHG,MtCO₂e,8.29,8.6,8.87,8.83,8.54,9.68,9.54,7.7,7.31,7.61,8.26,8.58,9.53,7.44,6.18,5.02,4.72,4.4,4.06,3.75,3.77,4.1,4.05,3.29,3.53,3.45,3.1,2.69,2.62,2.5,2.43
ARG,Argentina,Climate Watch,Industrial Processes,All GHG,MtCO₂e,28.78,28.24,27.29,26.11,24.61,23.97,22.95,22.4,21.22,20.83,19.63,17.3,15.52,13.56,11.37,8.88,7.92,7.08,6.11,6.44,6.31,6.41,5.99,5.46,4.26,4.0,4.35,4.23,4.13,4.0,3.8
ARM,Armenia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.59,0.54,0.53,0.43,0.4,0.5,0.5,0.52,0.53,0.52,0.54,0.48,0.63,0.61,0.52,0.5,0.45,0.36,0.34,0.26,0.24,0.26,0.28,0.22,0.12,0.1,0.05,0.07,0.11,0.0,0.0
ATG,Antigua and Barbuda,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.51,0.49,0.46,0.44,0.41,0.39,0.38,0.37,0.36,0.35,0.34,0.31,0.27,0.23,0.2,0.16,0.15,0.13,0.11,0.1,0.08,0.07,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.0,0.0
AUS,Australia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,16.41,17.05,17.37,17.86,18.19,17.92,17.25,16.79,17.36,16.92,16.7,15.83,15.2,13.98,12.87,13.42,12.34,11.68,10.68,10.05,8.57,8.17,8.54,7.63,7.73,7.69,8.45,9.91,10.3,10.37,10.81
AUT,Austria,Climate Watch,Industrial Processes,All GHG,MtCO₂e,3.29,3.37,3.56,3.57,3.72,3.69,3.6,3.53,3.53,3.46,3.54,3.59,4.28,4.2,3.98,3.78,4.0,4.43,4.2,4.1,4.07,3.93,3.96,4.28,4.13,3.99,4.34,4.29,4.15,4.78,4.69
AZE,Azerbaijan,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.53,1.6,1.56,1.39,1.16,1.26,1.32,1.1,1.02,0.81,0.95,0.93,1.06,1.09,1.04,0.98,0.94,0.72,0.63,0.43,0.22,0.19,0.2,0.26,0.2,0.17,0.26,0.31,0.39,0.0,0.0
BDI,Burundi,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.5,0.46,0.42,0.39,0.35,0.31,0.28,0.25,0.22,0.19,0.16,0.14,0.13,0.11,0.1,0.08,0.08,0.07,0.07,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.0
