ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,Afghanistan,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.15,0.15,0.15,0.15,0.15,-0.25,-0.25,-0.25,-0.25,-0.25,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39
AGO,Angola,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,48.63,51.28,47.33,54.08,50.82,51.87,50.69,50.02,51.67,50.68,52.91,52.09,50.41,50.0,49.89,51.14,50.24,48.57,47.39,45.91,23.59,28.77,30.13,24.98,26.77,25.3,25.3,25.3,25.3,25.3,25.3
ALB,Albania,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-0.25,-0.25,-0.24,-0.24,-0.24,-0.85,-0.85,-0.85,-0.85,-0.85,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,0.26,0.2,0.2,0.22,0.2,0.19,0.19,0.19,0.19,0.19,0.19
AND,Andorra,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,33.33,32.14,32.15,32.8,32.18,68.07,67.92,68.97,68.19,68.11,97.53,97.81,97.65,97.57,97.58,97.65,97.77,97.62,97.44,97.41,48.8,51.31,49.9,50.17,49.54,47.62,47.61,47.61,47.61,47.61,47.61
ARM,Armenia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.04,0.04,0.04,0.04,0.04,-0.08,-0.08,-0.08,-0.08,-0.08,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
ATG,Antigua and Barbuda,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,Australia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,13.52,22.69,4.34,3.65,4.3,-27.75,-26.91,-26.26,-27.43,-28.02,30.25,33.12,30.18,31.82,35.54,30.43,30.48,37.31,34.05,31.98,54.11,60.33,57.85,59.87,56.82,54.89,54.85,54.85,54.85,54.85,54.85
AUT,Austria,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-6.93,-6.93,-6.93,-6.93,-6.93,-6.88,-6.87,-6.87,-6.88,-6.88,-5.97,-5.97,-5.98,-5.98,-5.98,-5.97,-5.98,-5.98,-5.98,-5.98,-13.29,-13.3,-13.31,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3
AZE,Azerbaijan,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-1.91,-1.92,-1.91,-1.91,-1.92,-2.85,-2.85,-2.85,-2.85,-2.85,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.55,-1.58,-1.56,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.59,-1.59
BDI,Burundi,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,3.03,3.04,3.08,3.09,3.1,-1.82,-1.82,-1.81,-1.82,-1.82,3.14,3.12,3.13,3.13,3.13,3.12,3.12,3.12,3.13,3.13,5.22,5.23,5.17,5.16,5.14,5.1,4.99,4.99,4.99,4.99,4.99
BEL,Belgium,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.2,0.2,0.2,0.2,0.2,-2.32,-2.32,-2.32,-2.32,-2.32,-2.97,-2.97,-2.97,-2.97,-2.97,-2.97,-2.97,-2.97,-2.97,-2.96,-3.97,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88
BEN,Benin,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,10.77,10.82,10.75,10.75,10.73,10.72,10.71,10.73,10.72,10.76,10.72,10.77,10.75,10.8,10.84,10.96,10.76,10.78,10.84,10.82,15.77,16.12,16.32,15.52,15.63,15.56,15.56,15.56,15.56,15.56,15.56
BFA,Burkina Faso,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,24.1,24.1,24.1,24.1,24.1,5.87,5.87,5.87,5.87,5.87,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,16.45,13.79,13.57,13.99,13.36,13.43,12.93,12.93,12.93,12.93,12.93,12.93
BGD,Bangladesh,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,17.78,17.57,17.54,17.49,17.49,17.66,17.89,18.0,17.79,17.76,18.2,18.39,18.33,18.22,18.58,18.19,18.13,18.26,18.2,18.47,17.84,17.99,18.08,18.19,18.19,18.22,18.19,18.19,18.19,18.19,18.19
BGR,Bulgaria,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-33.88,-33.88,-33.88,-33.88,-33.88,-12.19,-12.19,-12.18,-12.18,-12.18,-23.62,-23.63,-23.63,-23.6,-23.62,-23.62,-23.62,-23.62,-23.62,-23.62,-21.8,-21.83,-21.82,-21.83,-21.82,-21.83,-21.83,-21.83,-21.83,-21.83,-21.83
BHR,Bahrain,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHS,Bahamas,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.03,0.02,0.01,0.09,0.04,0.02,0.02,0.07,0.01,0.06,0.02,0.04,0.06,0.01,0.02,0.04,0.04,0.01,0.02,0.02,0.13,0.1,0.1,0.09,0.09,0.04,0.04,0.04,0.04,0.04,0.04
BIH,Bosnia and Herzegovina,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-1.66,-1.68,-1.67,-1.66,-1.67,-3.65,-3.65,-3.65,-3.63,-3.63,0.42,0.41,0.42,0.41,0.42,0.42,0.42,0.44,0.42,0.42,3.47,3.35,3.39,3.33,3.33,3.34,3.34,3.34,3.34,3.34,3.34
BLR,Belarus,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-1.57,-1.59,-1.38,-1.36,-1.2,3.92,3.96,3.92,3.92,3.88,-4.79,-4.79,-4.71,-4.5,-4.41,-4.38,-4.35,-4.14,-4.02,-4.06,-11.99,-12.03,-12.49,-12.63,-12.75,-12.83,-13.16,-13.15,-13.15,-13.1,-13.1
BLZ,Belize,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,5.39,5.3,5.23,5.3,5.24,5.49,5.45,5.57,5.45,5.84,3.27,3.24,3.27,3.34,3.23,3.3,3.2,3.48,3.28,3.24,6.6,6.56,6.62,6.54,6.57,6.59,6.59,6.59,6.59,6.59,6.59
BOL,Bolivia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,76.23,80.87,69.85,69.45,71.44,62.76,60.72,61.28,63.41,64.66,79.78,58.9,61.81,69.63,65.01,63.63,71.72,59.32,63.36,59.35,79.3,88.6,83.33,83.39,82.95,83.01,83.01,83.01,83.01,83.01,83.01
BRA,Brazil,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,404.94,397.56,389.11,400.08,394.68,274.4,268.4,264.95,271.77,266.88,1122.95,1104.13,1108.0,1122.93,1109.63,1119.54,1115.72,1113.9,1115.37,1106.8,1041.6,1058.61,1064.73,1053.37,1050.7,1050.64,1050.63,1050.63,1050.61,1050.61,1050.61
BRB,Barbados,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,Brunei,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.32,0.26,0.24,0.24,0.31,0.3,0.34,0.24,0.25,0.25,1.17,1.18,1.16,1.16,1.17,1.2,1.19,1.34,1.2,1.25,1.24,1.23,5.6,1.49,1.3,1.38,1.36,1.36,1.36,1.36,1.36
BTN,Bhutan,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-1.31,-1.32,-1.31,-1.31,-1.3,-1.27,-1.28,-1.31,-1.24,-1.29,-6.56,-6.6,-6.6,-6.53,-6.6,-6.6,-6.6,-6.61,-6.61,-6.59,-6.59,-6.55,-6.58,-6.59,-6.59,-6.59,-6.59,-6.59,-6.59,-6.59,-6.59
BWA,Botswana,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,41.14,41.14,41.11,41.11,41.1,41.09,41.09,41.1,41.1,41.1,41.11,41.11,41.1,41.1,41.1,41.11,41.1,41.08,41.07,41.07,41.13,41.27,41.33,41.26,41.29,41.07,41.07,41.07,41.07,41.07,41.07
CAF,Central African Republic,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,34.5,35.77,36.03,36.7,40.88,34.05,31.96,35.05,38.29,40.64,39.08,32.29,40.23,42.05,39.62,41.14,34.32,45.04,33.61,36.09,19.46,21.2,22.61,19.44,16.32,33.93,33.93,33.93,33.93,33.93,33.93
CAN,Canada,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,53.84,54.88,56.64,54.37,53.88,154.66,153.72,153.69,153.75,153.37,319.49,319.28,319.21,319.25,319.56,319.52,319.86,320.03,319.49,319.37,85.78,87.69,93.59,85.48,88.16,84.15,83.69,83.69,83.69,83.69,83.69
CHE,Switzerland,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-1.73,-1.73,-1.72,-1.72,-1.72,-1.69,-1.69,-1.69,-1.69,-1.69,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.83,-1.81,-1.77,-0.92,-0.92,-0.93,-0.93,-0.92,-0.92,-0.91,-0.9,-0.89,-0.89,-0.89
CHL,Chile,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-57.04,-57.09,-57.21,-55.97,-57.17,-80.2,-80.6,-80.69,-80.61,-80.58,-35.42,-35.38,-35.26,-35.39,-35.4,-35.36,-35.41,-35.39,-35.36,-35.45,-16.65,-16.53,-16.56,-16.5,-16.63,-16.57,-16.57,-16.57,-16.57,-16.57,-16.57
CHN,China,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-647.24,-647.2,-647.24,-647.6,-647.33,-707.42,-707.36,-707.58,-707.6,-707.52,-329.26,-329.27,-328.28,-329.42,-329.61,-329.48,-328.93,-328.59,-329.66,-329.35,-345.56,-345.77,-345.65,-345.89,-345.97,-346.41,-346.45,-346.45,-346.45,-346.45,-346.45
CIV,Côte d'Ivoire,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,26.06,26.02,26.0,26.01,26.06,26.0,26.0,25.99,26.04,25.98,25.99,25.99,26.0,26.11,25.98,25.99,26.01,26.0,25.98,26.03,60.58,60.73,60.72,60.3,60.06,60.03,59.87,59.87,59.87,59.87,59.87
CMR,Cameroon,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,35.05,34.61,33.94,34.23,34.26,33.82,33.78,34.19,34.01,34.25,42.14,41.86,42.39,41.77,41.84,43.47,42.05,43.65,41.88,41.61,54.78,55.38,56.44,54.11,54.16,53.84,53.83,53.83,53.83,53.83,53.83
COD,Democratic Republic of the Congo,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,631.94,631.27,628.88,633.43,634.79,634.49,631.46,632.97,632.35,634.63,400.17,399.01,399.57,396.92,402.31,400.54,400.24,398.77,393.91,385.2,391.68,394.81,400.82,399.94,393.27,397.94,397.93,397.93,397.93,397.93,397.93
COG,Republic of Congo,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,10.2,10.33,10.26,9.99,10.36,9.18,8.92,9.08,9.02,9.03,8.82,8.65,8.61,8.64,8.79,8.7,8.66,8.75,8.4,8.44,8.71,8.87,8.8,8.87,8.92,8.88,8.9,8.9,8.9,8.9,8.9
COK,Cook Islands,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
COL,Colombia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,83.31,83.11,83.96,83.05,83.22,56.74,56.73,56.54,56.48,56.47,80.48,80.5,80.61,81.15,80.54,80.44,81.33,80.64,80.37,80.42,93.24,92.83,93.06,93.02,92.66,92.78,92.75,92.75,92.75,92.75,92.75
COM,Comoros,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
CPV,Cape Verde,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51
CRI,Costa Rica,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-7.32,-7.32,-7.32,-7.32,-7.27,-7.27,-7.32,-7.28,-7.29,-7.33,-0.51,-0.51,-0.52,-0.47,-0.52,-0.52,-0.51,-0.49,-0.51,-0.48,2.43,2.43,2.45,2.43,2.42,2.43,2.43,2.43,2.43,2.43,2.43
CUB,Cuba,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-2.94,-3.05,-3.04,-3.0,-3.03,-12.65,-12.69,-12.66,-12.68,-12.63,-10.22,-10.15,-10.23,-10.22,-10.19,-10.15,-10.19,-10.24,-10.2,-10.22,-10.69,-10.71,-10.73,-10.77,-10.76,-10.77,-10.77,-10.77,-10.77,-10.77,-10.77
CYP,Cyprus,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-0.25,-0.25,-0.25,-0.25,-0.25,-0.32,-0.32,-0.32,-0.32,-0.32,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
CZE,Czech Republic,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-5.67,-5.67,-5.67,-5.67,-5.67,-3.49,-3.49,-3.49,-3.49,-3.49,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.79,-6.79,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29
DEU,Germany,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-11.57,-11.57,-11.49,-11.49,-11.48,-11.3,-11.29,-11.27,-11.26,-11.26,-0.39,-0.39,-0.39,-0.37,-0.38,-0.37,-0.38,-0.23,-0.08,0.03,-32.96,-32.89,-32.81,-32.8,-32.79,-32.73,-32.77,-32.76,-32.75,-32.75,-32.75
DJI,Djibouti,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,Dominica,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
DNK,Denmark,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,2.06,2.06,2.07,2.07,2.07,-0.74,-0.74,-0.74,-0.74,-0.74,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.21,1.55,1.55,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57
DOM,Dominican Republic,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-1.56,-1.55,-1.56,-1.56,-1.56,-1.14,-1.17,-1.17,-1.17,-1.17,-1.93,-1.93,-1.93,-1.93,-1.94,-1.86,-1.93,-1.94,-1.94,-1.93,-7.23,-7.24,-7.24,-7.21,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
DZA,Algeria,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.3,0.23,0.2,0.48,0.24,-0.62,-0.6,-0.61,-0.44,-0.54,-2.4,-2.38,-2.3,-2.22,-2.35,-2.36,-2.39,-2.34,-2.38,-2.4,0.97,0.66,0.65,0.65,0.67,0.66,0.66,0.66,0.66,0.66,0.66
ECU,Ecuador,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,26.14,26.15,26.13,26.13,26.13,17.04,17.03,17.02,17.06,17.02,28.55,28.55,28.54,28.56,28.54,28.56,28.54,28.48,28.48,28.49,36.56,36.56,36.57,36.56,36.57,36.56,36.56,36.56,36.56,36.56,36.56
EGY,Egypt,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.18,0.18,0.18,0.18,0.18,0.92,0.92,0.92,0.92,0.92,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41
ERI,Eritrea,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.45,0.45,0.45,0.45,0.45,0.38,0.38,0.38,0.38,0.38,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
ESP,Spain,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-13.9,-13.89,-13.92,-13.85,-13.89,-7.88,-7.89,-7.89,-7.87,-7.88,-19.17,-19.16,-19.17,-19.16,-19.1,-19.11,-19.14,-19.14,-19.16,-19.2,-42.48,-42.57,-42.5,-42.42,-42.62,-42.68,-42.68,-42.68,-42.68,-42.68,-42.68
EST,Estonia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,4.64,4.62,4.63,4.6,4.6,-3.47,-3.47,-3.45,-3.47,-3.48,1.36,1.29,1.26,1.24,1.21,1.19,1.17,1.1,1.09,1.04,0.99,0.86,0.5,0.34,0.32,0.31,0.2,0.2,0.2,0.24,0.24
