year,values
1985,0.7134973406791687
1986,0.7757672071456909
1987,0.9534497261047364
1988,0.9963213801383972
1989,0.9621029496192932
1990,1.0509462356567385
1991,1.2204430103302002
1992,1.1633063554763794
1993,1.274553894996643
1994,1.314469814300537
1995,1.2837930917739868
1996,1.260212779045105
1997,1.357155203819275
1998,1.3405722379684448
1999,1.2149395942687988
2000,1.1776340007781982
2001,1.161632776260376
2002,1.3631951808929443
2003,1.4974135160446167
2004,1.3872133493423462
2005,1.4715890884399414
2006,1.6245887279510498
2007,1.691502809524536
2008,1.6178911924362185
2009,1.8015360832214355
2010,1.882016897201538
2011,1.7635687589645386
2012,1.853533148765564
2013,1.8821619749069212
2014,1.9846192598342896
2015,2.270007610321045
2016,2.3194503784179688
2017,2.3405086994171143
2018,2.251902341842652
2019,2.4116480350494385
2020,2.5034306049346924
2021,2.4103286266326904
